Job Title,Salary,Location,Company,Description,Contract,Easy Apply
Software Engineer - PHP - Manchester,MAD 576000.0 - 768000.0,"Manchester, Lancashire",Circle Recruitment,Go to similar:,"Permanent, full-time",Yes
IT Infrastructure Engineer,MAD 537600.0 - 576000.0,"Manchester, Lancashire",Franklin Fitch,,"Permanent, full-time",Yes
3D Scanner Inspector,MAD 768000.0 - 832000.0,"Oldham, Lancashire",Bluetownonline Ltd,"Bennett and Game are currently working with a client With a focus on some of the UK's most intricate projects spanning Tunnelling, Energy, Transport, and Water sectors based form their London or Manchester office. The Principal Tunnel Engineer will b...","Permanent, full-time",Yes
Contract Manager Data Centres,MAD 896000.0 - 960000.0,"Manchester, Lancashire",Ernest Gordon Recruitment Limited,Go to similar:,"Permanent, full-time",Yes
"Lead Front-End Engineer React,TypeScript, AWS Remote,UK £75k",MAD 576000.0 - 640000.0,"Manchester, Lancashire",Akkodis,,"Permanent, full-time",Yes
Reliability Programme Manager,MAD 307200.0 - 332800.0,"Manchester, Lancashire",Kameo Recruitment Ltd,"Commissioning Engineer | Global travel required | Permanent | Up to 50,000 | 40 days holiday Cherry Professional are looking for an experienced Commissioning Engineer to set up stand alone machines or an entire production line ready for use and deliv...","Permanent, full-time",Yes
Software Developer C# .Net,MAD 512000.0 - 640012.8,"Manchester, Lancashire",Futures Manufacturing,Go to similar:,"Permanent, full-time",Yes
Graduate Air Quality Consultant,Not Found,"Manchester, Lancashire",Penguin Recruitment Ltd,,"Permanent, full-time",Yes
Software Developer,Not Found,"Bolton, Lancashire",Oscar Technology,"Senior Developer, Fully Remote, 90K We are on the lookout for an experienced Senior Developer to use their skills and experience to help transform our customers software to making sense of data and innovating software that can make a real impact on s...","Permanent, full-time",Yes
Engineering Administrator,MAD 332800.0 - 384000.0,"Haydock, Merseyside",Aspion,"Aspion Search is proud to represent a market-leading, ever growing organisation in their search for an Engineering Administrator to join their team. The Role: We are looking for a candidate that can make their mark in a niche & bespoke industry... He...","Permanent, full-time",Yes
MIG Welder,MAD 384000.0 - 473600.0,"Wigan, Lancashire",Candidate Source - TEAM,Go to similar:,"Permanent, full-time",Yes
Software Developer / IOT / C / C++ / JavaScript,MAD 768000.0 - 896000.0,"Bury, Lancashire",AWD online,,"Permanent, full-time",Yes
"SharePoint Developer - DV cleared, onsite Manchester",Not Found,"Manchester, Lancashire",Sanderson,"A long-standing design & build engineering production business specialising in the manufacture of materials handling equipment is looking for a MIG Welder in Wigan. You will be joining a highly professional and well managed environment, offering a sa...","Permanent, full-time",Yes
